id	url	name	name	street_address	locality	region	postal_code	acres	counties	adopted_2017_standards_&_practices	number_of_board_members	number_of_full_time_staff	number_of_supporters	number_of_volunteers	year_first_joined	features
american-chestnut-land-trust-md	https://findalandtrust.org/land-trusts/explore/american-chestnut-land-trust-md	American Chestnut Land Trust	American Chestnut Land Trust	PO Box 2363	Prince Frederick	MD	20678-2363	3,642	Calvert	Yes	20	4	800	100	1988	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
skagit-land-trust-wa	https://findalandtrust.org/land-trusts/explore/skagit-land-trust-wa	Skagit Land Trust	Skagit Land Trust	1020 S 3rd St	Mount Vernon	WA	98273-4302	10,268	Skagit	Yes	17	8	1,500	450	1992	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
florida-s-nature-coast-conservancy-fl	https://findalandtrust.org/land-trusts/explore/florida-s-nature-coast-conservancy-fl	Florida's Nature Coast Conservancy	Florida's Nature Coast Conservancy	PO Box 401	Cedar Key	FL	32625-0401	502	Levy	Yes	6		40	5	1992	Public Access|Volunteer Opportunities|Wildlife Habitat
falmouth-land-trust-me	https://findalandtrust.org/land-trusts/explore/falmouth-land-trust-me	Falmouth Land Trust	Falmouth Land Trust	PO Box 6172	Falmouth	ME	04105-6172	1,161	Cumberland	Yes	14		160	25	1987	Public Access|Volunteer Opportunities
orono-land-trust-me	https://findalandtrust.org/land-trusts/explore/orono-land-trust-me	Orono Land Trust	Orono Land Trust	PO Box 4	Orono	ME	04473-0004	7,233	Penobscot	Yes	16		258	12	1991	Trails|Public Access|Volunteer Opportunities|Forests|Wildlife Habitat
minnesota-land-trust-mn	https://findalandtrust.org/land-trusts/explore/minnesota-land-trust-mn	Minnesota Land Trust	Minnesota Land Trust	2356 University Ave W Ste 240	Saint Paul	MN	55114-1851	64,489	Aitkin, Anoka, Becker, Beltrami, Benton, Big Stone, Blue Earth, Brown, Carlton, Carver, Cass, Chippewa, Chisago, Clay, Clearwater, Cook, Cottonwood, Crow Wing, Dakota, Dodge, Douglas, Faribault, Fillmore, Freeborn, Goodhue, Grant, Hennepin, Houston, Hubbard, Isanti, Itasca, Jackson, Kanabec, Kandiyohi, Kittson, Koochiching, Lac qui Parle, Lake, Lake of the Woods, Le Sueur, Lincoln, Lyon, McLeod, Mahnomen, Marshall, Martin, Meeker, Mille Lacs, Morrison, Mower, Murray, Nicollet, Nobles, Norman, Olmsted, Otter Tail, Pennington, Pine, Pipestone, Polk, Pope, Ramsey, Red Lake, Redwood, Renville, Rice, Rock, Roseau, St. Louis, Scott, Sherburne, Sibley, Stearns, Steele, Stevens, Swift, Todd, Traverse, Wabasha, Wadena, Waseca, Washington, Watonwan, Wilkin, Winona, Wright, Yellow Medicine	Yes	24	22	2,233	113	1992	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
whidbey-camano-land-trust-wa	https://findalandtrust.org/land-trusts/explore/whidbey-camano-land-trust-wa	Whidbey Camano Land Trust	Whidbey Camano Land Trust	765 Wonn Rd C201	Greenbank	WA	98253-6423	10,103	Island	Yes	11	14	1,100	145	1989	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
francis-small-heritage-trust-me	https://findalandtrust.org/land-trusts/explore/francis-small-heritage-trust-me	Francis Small Heritage Trust	Francis Small Heritage Trust	PO Box 414	Limerick	ME	04048-0414	2,165	Cumberland, Oxford, York	Yes	10		170	30	2013	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
stow-conservation-trust-ma	https://findalandtrust.org/land-trusts/explore/stow-conservation-trust-ma	Stow Conservation Trust	Stow Conservation Trust	PO Box 397	Stow	MA	01775-0397	542	Middlesex	Yes	11		250	50	1999	Volunteer Opportunities
hilltown-land-trust-ma	https://findalandtrust.org/land-trusts/explore/hilltown-land-trust-ma	Hilltown Land Trust	Hilltown Land Trust	332 Bullitt Rd	Ashfield	MA	01330-9767	5,085	Berkshire, Franklin, Hampden, Hampshire	Yes	10	1	340	25	1989	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
blue-hill-heritage-trust-me	https://findalandtrust.org/land-trusts/explore/blue-hill-heritage-trust-me	Blue Hill Heritage Trust	Blue Hill Heritage Trust	157 Hinckley Ridge Rd	Blue Hill	ME	04614-5805	12,083	Hancock	Yes	13	6	726	75	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
the-trust-for-public-land-national-office-ca	https://findalandtrust.org/land-trusts/explore/the-trust-for-public-land-national-office-ca	The Trust for Public Land, National Office	The Trust for Public Land, National Office	101 Montgomery St Ste 900	San Francisco	CA	94104-4148	3,515,872		Yes	19	347	1,182,532	261	1998	Volunteer Opportunities
piscataquog-land-conservancy-nh	https://findalandtrust.org/land-trusts/explore/piscataquog-land-conservancy-nh	Piscataquog Land Conservancy	Piscataquog Land Conservancy	5A Mill Street	New Boston	NH	03070-3825	8,718	Hillsborough, Merrimack	Yes	14	4	450	99	1990	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
scenic-hudson-inc-ny	https://findalandtrust.org/land-trusts/explore/scenic-hudson-inc-ny	Scenic Hudson, Inc.	Scenic Hudson, Inc.	One Civic Center Plz, Ste 200	Poughkeepsie	NY	12601-3157	36,095	Albany, Columbia, Dutchess, Greene, Orange, Putnam, Rensselaer, Rockland, Ulster, Westchester	Yes	34	61	1,640	715	1982	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
st-clair-county-greenspace-foundation-il	https://findalandtrust.org/land-trusts/explore/st-clair-county-greenspace-foundation-il	St. Clair County Greenspace Foundation	St. Clair County Greenspace Foundation	PO Box 24214	Belleville	IL	62223-9214	70	St. Clair	Yes	8		100	110	1994	Public Access|Volunteer Opportunities
green-horizon-land-trust-fl	https://findalandtrust.org/land-trusts/explore/green-horizon-land-trust-fl	Green Horizon Land Trust	Green Horizon Land Trust	PO Box 2445	Lake Wales	FL	33859-2445	6,158	Highlands, Osceola, Polk	Yes	12		125	10	1991	Public Access|Volunteer Opportunities
placer-land-trust-ca	https://findalandtrust.org/land-trusts/explore/placer-land-trust-ca	Placer Land Trust	Placer Land Trust	922 Lincoln Way, Suite 200	Auburn	CA	95603-5244	11,956	Placer	Yes	10	9	780	10	1991	Trails|Public Access|Volunteer Opportunities|Agricultural Land|Forests|Wildlife Habitat
upper-valley-land-trust-nh	https://findalandtrust.org/land-trusts/explore/upper-valley-land-trust-nh	Upper Valley Land Trust	Upper Valley Land Trust	19 Buck Rd	Hanover	NH	03755-2714	17,920	Grafton, Sullivan	Yes	14	10	802	74	1991	Public Access|Volunteer Opportunities
pacifica-land-trust-ca	https://findalandtrust.org/land-trusts/explore/pacifica-land-trust-ca	Pacifica Land Trust	Pacifica Land Trust	PO Box 988	Pacifica	CA	94044-0988	372	San Mateo	Yes	9		100	50	1991	Trails|Volunteer Opportunities|Wildlife Habitat
